T,current_km,best_km
8583.70980282,9999319.98038,9321243.65595
8569.78527824,9764795.08072,9321243.65595
8555.88334207,9843983.80306,9321243.65595
8542.00395768,9808402.82105,9321243.65595
8528.14708847,9853667.15649,9321243.65595
8514.31269792,9789777.99764,9321243.65595
8500.50074957,9870892.19344,9321243.65595
8486.71120702,9800205.26537,9321243.65595
8472.94403391,9650365.53806,9321243.65595
8459.19919395,9734528.80025,9321243.65595
8445.47665093,9654640.06296,9321243.65595
8431.77636866,9772798.60336,9321243.65595
8418.09831104,9605204.19285,9321243.65595
8404.44244201,9619210.00451,9321243.65595
8390.80872558,9851775.94735,9321243.65595
8377.19712581,9968937.34676,9321243.65595
8363.60760683,10031950.9223,9321243.65595
8350.04013282,9702518.53862,9321243.65595
8336.49466801,9565072.96419,9321243.65595
8322.9711767,9704109.90456,9321243.65595
8309.46962325,9537340.9529,9321243.65595
8295.98997207,9771666.15178,9321243.65595
8282.53218762,10048863.7626,9321243.65595
8269.09623444,9915447.49713,9321243.65595
8255.68207711,9857839.83602,9321243.65595
8242.28968028,9726779.93998,9321243.65595
8228.91900864,9592745.99129,9321243.65595
8215.57002694,9617938.79032,9321243.65595
8202.24270002,9810226.21253,9321243.65595
8188.93699273,9781345.22082,9321243.65595
8175.65287001,9710080.0148,9321243.65595
8162.39029684,9708497.381,9321243.65595
8149.14923826,9380536.29234,9321243.65595
8135.92965938,9506261.63787,9321243.65595
8122.73152534,9432733.72251,9321243.65595
8109.55480136,9482705.63841,9311786.5587
8096.39945271,9444125.30355,9295422.95624
8083.26544472,9493124.39902,9295422.95624
8070.15274276,9513729.54821,9295422.95624
8057.06131227,9908974.37903,9295422.95624
8043.99111874,9856240.06089,9295422.95624
8030.94212773,9673584.28602,9295422.95624
8017.91430484,9568261.01998,9295422.95624
8004.90761573,9501356.91159,9295422.95624
7991.92202612,9646787.86807,9295422.95624
7978.95750178,9680707.36113,9295422.95624
7966.01400854,9761357.67929,9295422.95624
7953.09151227,9624999.22742,9295422.95624
7940.18997893,9568868.92543,9295422.95624
7927.3093745,9579050.88486,9295422.95624
7914.44966503,9517580.46811,9295422.95624
7901.61081662,9498086.31692,9295422.95624
7888.79279545,9307857.31462,9295422.95624
7875.99556771,9283103.89057,9268034.45644
7863.21909968,9412809.98104,9268034.45644
