T,current_km,best_km
3605.41661778,293427.182172,243399.940869
3601.81300237,298172.483993,243399.940869
3598.21298877,275580.255232,243399.940869
3594.61657339,269633.530012,243399.940869
3591.02375263,266560.929611,243399.940869
3587.43452289,279478.540141,243399.940869
3583.8488806,303626.697321,243399.940869
3580.26682215,261451.881604,243399.940869
3576.68834397,295546.452347,243399.940869
3573.11344248,303756.795619,243399.940869
3569.54211411,278649.000087,243399.940869
3565.97435528,265973.831031,243399.940869
3562.41016242,279610.519903,243399.940869
3558.84953198,313823.213731,243399.940869
3555.2924604,274975.390372,243399.940869
3551.7389441,281985.987424,243399.940869
3548.18897955,300491.62259,243399.940869
3544.64256319,264742.226332,243399.940869
3541.09969147,319771.046106,243399.940869
3537.56036085,297252.462174,243399.940869
3534.0245678,276411.770188,243399.940869
3530.49230877,295251.371438,243399.940869
3526.96358024,281067.286657,243399.940869
3523.43837867,300623.317994,243399.940869
3519.91670055,268313.962679,243399.940869
3516.39854234,282665.933877,243399.940869
3512.88390053,282958.604115,243399.940869
3509.37277161,292406.955315,243399.940869
3505.86515207,289688.207881,243399.940869
3502.36103839,300375.997067,243399.940869
3498.86042707,289962.016215,243399.940869
3495.36331462,291418.781075,243399.940869
3491.86969753,290294.16905,243399.940869
3488.37957231,283326.210768,243399.940869
3484.89293548,267146.374474,243399.940869
3481.40978354,278624.117997,243399.940869
3477.93011301,267443.18668,243399.940869
3474.45392042,303649.67158,243399.940869
3470.98120228,275464.835327,243399.940869
3467.51195512,287199.315112,243399.940869
3464.04617548,303943.482775,243399.940869
3460.58385988,284500.196018,243399.940869
3457.12500487,298061.923489,243399.940869
3453.66960699,310650.539079,243399.940869
3450.21766278,295743.315895,243399.940869
3446.76916879,273889.171411,243399.940869
3443.32412157,305456.910224,243399.940869
3439.88251768,293303.519238,243399.940869
3436.44435367,292690.184121,243399.940869
3433.00962611,316972.522556,243399.940869
3429.57833156,275162.331683,243399.940869
3426.15046659,293347.491105,243399.940869
3422.72602777,293718.869739,243399.940869
3419.30501168,271417.027105,243399.940869
3415.8874149,271956.824026,243399.940869
3412.47323401,290994.818375,243399.940869
3409.06246559,280920.095896,243399.940869
3405.65510623,269370.102546,243399.940869
3402.25115254,285875.083086,243399.940869
3398.85060109,279543.891224,243399.940869
3395.4534485,285917.771873,243399.940869
3392.05969137,283939.594925,243399.940869
3388.66932629,282070.589182,243399.940869
3385.28234989,289946.062251,243399.940869
3381.89875877,282014.772515,243399.940869
3378.51854956,279119.478426,243399.940869
3375.14171886,267980.926653,243399.940869
3371.76826331,273401.997469,243399.940869
3368.39817952,270672.843684,243399.940869
3365.03146414,288986.449692,243399.940869
3361.66811379,282774.194422,243399.940869
3358.30812511,303313.958445,243399.940869
3354.95149474,274304.107034,243399.940869
3351.59821933,280827.939426,243399.940869
3348.24829551,283379.392631,243399.940869
3344.90171995,265513.951741,243399.940869
3341.55848929,292096.130775,243399.940869
3338.21860019,272013.585283,243399.940869
3334.8820493,284861.052349,243399.940869
3331.54883331,294307.735658,243399.940869
3328.21894886,256584.743333,243399.940869
3324.89239264,264154.517242,243399.940869
3321.56916131,263651.299785,243399.940869
3318.24925155,277089.114491,243399.940869
3314.93266004,293580.251734,243399.940869
3311.61938347,291581.048913,243399.940869
3308.30941851,288547.298148,243399.940869
3305.00276187,269345.144995,243399.940869
3301.69941024,276591.763025,243399.940869
3298.3993603,307455.690945,243399.940869
3295.10260877,270035.854185,243399.940869
3291.80915234,289751.97058,243399.940869
3288.51898772,289949.733515,243399.940869
3285.23211162,294477.142469,243399.940869
3281.94852076,264634.726343,243399.940869
3278.66821185,287686.664664,243399.940869
3275.3911816,282526.445278,243399.940869
3272.11742675,272859.533186,243399.940869
3268.84694402,282192.31155,243399.940869
3265.57973014,283066.013634,243399.940869
3262.31578184,283762.113446,243399.940869
3259.05509586,295288.597563,243399.940869
3255.79766894,273358.552214,243399.940869
3252.54349781,265109.897594,243399.940869
3249.29257923,290623.019069,243399.940869
3246.04490994,267968.300452,243399.940869
3242.80048671,272522.507284,243399.940869
3239.55930627,275511.383176,243399.940869
3236.32136539,288875.125174,243399.940869
3233.08666084,293801.507854,243399.940869
3229.85518938,291375.62249,243399.940869
3226.62694777,276825.742434,243399.940869
3223.4019328,290437.332301,243399.940869
3220.18014122,277713.971926,243399.940869
3216.96156983,256650.234716,243399.940869
3213.7462154,267142.207816,243399.940869
3210.53407472,275167.79192,243399.940869
3207.32514458,275212.760552,243399.940869
3204.11942176,301855.671924,243399.940869
3200.91690306,280981.629115,243399.940869
3197.71758529,289189.336921,243399.940869
3194.52146523,291668.747048,243399.940869
3191.32853969,293800.309941,243399.940869
3188.13880549,271931.650903,243399.940869
3184.95225943,276868.86609,243399.940869
3181.76889832,284444.690881,243399.940869
3178.58871898,303998.794932,243399.940869
3175.41171823,273448.02874,243399.940869
3172.2378929,292759.526751,243399.940869
3169.0672398,287434.658457,243399.940869
3165.89975578,282534.5856,243399.940869
3162.73543765,281314.917301,243399.940869
3159.57428227,287797.845113,243399.940869
3156.41628646,296607.474416,243399.940869
3153.26144706,282178.895548,243399.940869
3150.10976094,300559.926485,243399.940869
3146.96122492,297565.361043,240416.029042
3143.81583586,244775.775029,240416.029042
3140.67359063,283316.570086,238963.973501
3137.53448607,297315.156399,238963.973501
3134.39851904,271799.338074,238963.973501
3131.26568642,292042.42402,238963.973501
3128.13598506,265097.57665,238963.973501
3125.00941184,288850.036501,238963.973501
3121.88596363,309261.147164,238963.973501
3118.76563731,275605.498558,238963.973501
3115.64842976,284138.603135,238963.973501
3112.53433786,261458.688316,238963.973501
3109.42335849,263148.797153,238963.973501
3106.31548855,275471.304838,238963.973501
3103.21072492,295474.692613,238963.973501
3100.10906451,266922.609962,238963.973501
3097.01050421,277574.081647,238963.973501
3093.91504092,280796.766093,238963.973501
3090.82267155,298088.405211,238963.973501
3087.73339301,274793.597397,238963.973501
3084.64720219,300747.087718,238963.973501
3081.56409603,275155.033906,238963.973501
3078.48407144,298953.583918,238963.973501
3075.40712532,284915.294299,238963.973501
3072.33325462,284579.002859,238963.973501
3069.26245626,281672.817148,238963.973501
3066.19472715,275523.545115,238963.973501
3063.13006425,287630.99343,238963.973501
3060.06846447,283956.265177,238963.973501
3057.00992477,295217.769977,238963.973501
3053.95444208,289706.19863,238963.973501
3050.90201334,301879.762284,238963.973501
3047.85263551,279874.633762,238963.973501
3044.80630553,303838.308741,238963.973501
3041.76302036,283572.066793,238963.973501
3038.72277695,278338.400639,238963.973501
3035.68557227,287979.008044,238963.973501
3032.65140328,286745.543344,238963.973501
3029.62026694,289476.372143,238963.973501
3026.59216022,281307.901251,238963.973501
3023.5670801,270056.389263,238963.973501
3020.54502354,288795.795181,238963.973501
3017.52598753,278066.574951,238963.973501
3014.50996905,276894.030677,238963.973501
3011.49696508,280349.107569,238963.973501
3008.48697261,266298.330146,238963.973501
3005.47998863,288705.319179,238963.973501
3002.47601013,285983.270578,238963.973501
2999.47503411,276727.771022,238963.973501
2996.47705757,287840.877232,238963.973501
2993.4820775,281339.192433,238963.973501
2990.49009092,292600.069591,238963.973501
2987.50109483,299661.069052,238963.973501
2984.51508624,284438.919313,238963.973501
2981.53206217,267513.438391,238963.973501
2978.55201963,265822.520987,238963.973501
2975.57495565,284755.523735,238963.973501
2972.60086724,266905.052717,238963.973501
2969.62975143,267618.173321,238963.973501
2966.66160526,276903.356579,238963.973501
2963.69642575,282145.249202,238963.973501
2960.73420994,271293.892123,238963.973501
2957.77495487,284712.901311,238963.973501
2954.81865757,294333.854466,238963.973501
2951.86531509,316593.224002,238963.973501
2948.91492448,283082.588236,238963.973501
2945.96748278,298486.97925,238963.973501
2943.02298706,275500.553379,238963.973501
2940.08143436,273461.725718,238963.973501
2937.14282174,291273.453235,238963.973501
2934.20714627,285172.687071,238963.973501
2931.274405,292234.568246,238963.973501
2928.34459501,269295.147619,238963.973501
2925.41771337,267825.326201,238963.973501
2922.49375715,311466.439515,238963.973501
2919.57272342,283680.201586,238963.973501
2916.65460927,304147.001281,238963.973501
2913.73941177,286304.120995,238963.973501
2910.82712802,276461.625205,238963.973501
2907.91775509,282630.280022,238963.973501
